角色,问题类型,问题,答案,embed_id
客户,健管服务,健管服务怎么查看？怎么预约？,首先，您需要先进入“共享保“小程序，然后点击小程序中”我的“，打开”我的保单“选项，找到对应的保单卡片，打开”权益礼包“选项，就可以了解各项服务介绍，进行服务预约。,embed_0
客户,健管服务,健管服务有哪些？,本产品健管服务包含：1、重大疾病绿色通道服务；2、就医陪护服务；3、院内照护服务；4、上门护理服务；5、院内康复指导；6、医疗费用垫付；7、肿瘤用药基因检测服务；8、国内特药服务；9、海外特药服务。,embed_1
客户,健管服务,重大疾病绿色通道包含什么服务？,重大疾病绿色通道包含：1、重疾咨询；2、二次诊断；3、住院安排；4、手术安排；5、针对二次诊断提供一次陪诊服务；6、院后康复追踪。,embed_2
客户,健管服务,二次诊断服务是什么意思？,二次诊断服务是在通过重疾咨询判断客户满足门诊的条件时，为客户提供全国1892家三甲医院门诊挂号服务。,embed_3
客户,健管服务,二次诊断服务医生可以指定吗？,"二次诊断服务中可指定科室，不可指定医生，但医生的级别均为副主任医师及以上，专业性都很强，请您放心！
",embed_4
客户,健管服务,住院安排是什么意思？,住院安排是针对经二次诊断判定需要住院的客户，为客户提供全国1892家三甲医院住院安排服务。,embed_5
客户,健管服务,住院安排服务医生可以指定吗？,"住院安排服务可指定科室，不可指定医生，但医生的级别均为副主任医师及以上，专业性都很强，请您放心！
",embed_6
客户,健管服务,手术安排是什么意思？,手术安排是针对经二次诊断判定需要住院的客户，为客户提供全国1892家三甲医院住院安排服务。,embed_7
客户,健管服务,手术安排服务医生可以指定吗？,手术安排服务可指定科室，不可指定医生，但医生的级别均为副主任医师及以上，专业性都很强，请您放心！,embed_8
客户,健管服务,院后康复追踪是什么意思？,院后康复追踪是在完成住院/手术后，针对出院后的客户，进行为期12个月的康复追踪，帮助客户进行康复规划。康复追踪形式为电话回复，每月一次。,embed_9
客户,健管服务,重大疾病绿色通道服务完成时效,重大疾病绿色通道服务中（1）重疾咨询及陪诊于收集完整资料后，3个工作日内完成服务安排；（2）二次诊断于收集完整资料后5个工作日内完成安排；（3）住院/手术安排于收集完整资料后10个工作日内完成安排（需获得住院单/手术单）。,embed_10
客户,健管服务,就医陪护主要提供什么服务？,就医陪护服务是指由陪护专员专人全程陪同客户完成就诊过程，并提供专业指导，参与分诊、挂号、专家看诊、检查预约、治疗安排等院内就诊项目。,embed_11
客户,健管服务,就医陪护服务完成时效,就医陪护服务将于收到完整客户信息后于3个工作日内完成服务安排，并将通知客户具体服务安排，叮嘱就诊当日的注意事项（需携带的物品、检测报告、饮食要求等），同时于就诊前1日18点前会再次提醒客户做好就诊准备,embed_12
客户,健管服务,院内照护服务包含什么服务？,"院内照护服务包含：1、最长5天四夜的院内一对一管家照护；2、基本生活照护；3、清洁与卫生；4、情况观察与专项照护；5、关怀与陪同。
",embed_13
